,image_path,source,target,generated_linguistic_metaphor,entailing_literal,contradicting_metaphor,contradicting_literal,literal_description,objects,properties,relations,visual_elaboration
82,imgs/1864_3.jpg,Self-propelled Motion,Self-initiated Change Of State,He jogged through the transformation process.,"He maintained steady, self-directed progress in changing himself.",He idled in neutral while external forces tried to push him through transformation.,He remained unchanged despite external pressures to transform.,Moving quickly but casually through change without full commitment or effort.,"Person jogging, Transformation path","Casual pace, Incomplete transformation",Movement through a changing state,A person jogging on a path that gradually transforms from human footprints to butterfly wing prints.
83,imgs/1453_3.jpg,Love Objects,Beliefs,Their shared beliefs were a well-worn comfort blanket.,Their common beliefs provided familiar comfort and security.,"Their shared beliefs were a hair shirt, constantly chafing and abrading their peace of mind.",Their shared beliefs were a source of constant discomfort and anxiety.,Familiar beliefs provide emotional security and comfort.,"Beliefs, Comfort blanket","Well-worn, shared, comforting, familiar",Beliefs are compared to a comfort blanket that provides security,"Two people wrapped together in a tattered, old blanket with glowing symbols of shared beliefs woven into its fabric."
84,imgs/354_3.jpg,Maintaining Position,Emotional Stability,She's a lighthouse standing steady in emotional tempests.,She remains emotionally stable and guides others during difficult times.,"She's driftwood tossed about by emotional currents, offering no anchor to those adrift.","She's easily swept away by emotional currents, offering no guidance.",Represents stability and guidance during difficult emotional times.,"Woman, Lighthouse","Steady, Strong, Guiding",Standing firm against emotional storms,"A woman's figure merged with a lighthouse, beaming light through dark storm clouds and turbulent waves."
85,imgs/1855_1.jpg,Visibility,Existence,The truth came into focus like an adjusting lens.,The reality of the situation gradually became clear and understood.,The truth blurred into obscurity like a lens losing focus.,The truth became more confused and unclear over time.,Gradual clarity and understanding.,"Truth, Camera lens","Blurry becoming clear, Adjustable focus",Truth becoming clearer through gradual adjustment,"A camera lens transitioning from blurry to sharp, revealing the word ""TRUTH"" in crystal clarity."
86,imgs/257_3.jpg,An Offensive Weapon,Sexuality,Their chemistry was an arsenal waiting to be deployed.,Their sexual attraction had great potential that hadn't yet been acted upon.,"Their chemistry was an empty arsenal, its ammunition long since spent.",Their chemistry was spent and had no potential for development.,Explosive potential for romance or conflict between two people.,"Chemistry between people, Arsenal/Weapons","Explosive, Dangerous, Powerful, Waiting",Potential energy ready to be released,Two silhouettes facing each other with missiles and fireworks erupting between them in heart shapes.
87,imgs/1486_0.jpg,Something Moving Toward You,Time,Time is an avalanche cascading down the mountain of existence.,Time moves forward with increasing momentum and cannot be stopped.,"Time is a snowflake drifting lazily toward you, settling softly into your waiting palm where it lingers without melting.",Time is a gentle snowfall that can be caught and held still.,Time is unstoppable and destructive in its forward motion.,"Time, Mountain, Avalanche","Unstoppable, Powerful, Destructive","Cascading downward movement, Overwhelming force","A giant clock face shattering into snow and ice, tumbling down a steep mountain slope."
88,imgs/774_3.jpg,Pursuer,Time,"Time is an unwavering shadow, following our every move.","Time consistently accompanies us throughout life, affecting everything we do.","Time is a disinterested stranger gazing in the opposite direction, indifferent to where we wander.",Time is completely detached from our actions and has no bearing on our activities.,Time is constant and inescapable.,"Time, Shadow, Person","Unwavering, Persistent, Dark","Following, Attached, Inseparable",A person walking with an elongated dark shadow that morphs into a clock face behind them.
89,imgs/172_0.jpg,Being In A Harmful Location,Harm,They're trapped in quicksand of toxic relationships.,They're caught in harmful relationships that gradually cause more damage.,They're resting on solid ground in relationships that provide a safe harbor of support and stability.,They're in nurturing relationships that provide stability and support.,Being slowly consumed by harmful relationships that are difficult to escape from.,"Person, Quicksand","Sinking, struggling, toxic, trapped",Person being pulled down by the quicksand,A person sinking in green glowing quicksand while toxic waste symbols float around them.
90,imgs/734_2.jpg,Fashions,Beliefs,Some beliefs are like fast fashion - cheaply made and quickly discarded.,Certain beliefs are adopted without deep consideration and are easily abandoned.,All beliefs are heirloom garments - meticulously tailored by hand and carefully preserved for generations.,All beliefs are carefully constructed and maintained with lasting dedication.,Superficial and disposable nature of certain beliefs.,"Beliefs, Fast fashion clothing","Cheap, temporary, disposable",Beliefs being treated like throwaway clothing items,"A pile of crumpled clothing with words like ""beliefs"" written on them being tossed into a trash bin."
91,imgs/644_1.jpg,Getting Destroyed,Intoxication,The vodka razed his rational thoughts to the ground.,The alcohol severely impaired his ability to think logically and make sound decisions.,The vodka fortified his rational thoughts into an impenetrable fortress.,The vodka enhanced his logical thinking and decision-making abilities.,Alcohol destroys clear thinking.,"Vodka, rational thoughts","Destructive, demolishing",Vodka acts as a demolishing force against thoughts,A wrecking ball shaped like a vodka bottle smashing into a glass brain structure.
92,imgs/487_1.jpg,Changer,Time,Time is an eternal chameleon.,"Time constantly shifts and adapts, bringing different changes to different things.","Time is an unyielding monolith, treating all beneath it with the same rigid indifference.","Time is rigid and uniform, treating everything the same way.",Time constantly changes and adapts like a chameleon changes its colors.,"Time, Chameleon","Eternal, Changing, Adaptive",Time is compared to a chameleon's ability to transform,"A clock face with a chameleon's body wrapped around it, shifting colors through rainbow spectrum."
93,imgs/984_2.jpg,Warmth,Affection,Her heart was a thermal spring of endless affection.,She had an inexhaustible capacity for showing love and care.,"Her heart was a single match, its affection flaring briefly before burning out completely.",Her emotional capacity was limited and quickly depleted.,Warmth and continuous flow of love.,"Heart, Thermal Spring","Warm, Flowing, Endless, Natural",Heart produces warmth and love like a thermal spring produces warm water,A glowing heart-shaped hot spring bubbling with warm water and rising steam forming love symbols.
94,imgs/422_3.jpg,Shapes,States,The state's economy is a square peg in a round hole.,The state's economic policies are incompatible with current market conditions.,The state's economy is a circle settling perfectly into a circular groove.,The state's economy fits perfectly within the broader economic framework.,Fundamentally mismatched or incompatible situation.,"State economy, square peg, round hole","Geometric mismatch, forced fit, incompatibility",Attempting to fit something where it doesn't belong,"A large square peg labeled ""ECONOMY"" being forcefully pushed into a round hole, with visible stress cracks."
95,imgs/144_0.jpg,Body,Mind,Her mind was running a marathon of thoughts.,She was experiencing an extended period of intense thinking and analysis.,"Her mind lay motionless, thoughts suspended in perfect stillness.",Her thoughts were completely still and inactive.,Overwhelming and continuous stream of thoughts.,"Mind, Marathon","Continuous movement, Exhaustion, Speed","Mind is compared to a marathon runner, thoughts are the track",A brain wearing running shoes sprinting on a circular track made of swirling thought bubbles.
96,imgs/165_0.jpg,"Touching, Eyes Are Limbs",Seeing,His eyes danced across the pages of the book.,He read the book quickly and enthusiastically.,"His eyes stumbled and fumbled across the pages, unable to grasp the words.",He struggled to focus on the words in the book.,"Quick, fluid movement of eyes while reading.","Eyes, Book pages","Fluid, rhythmic movement",Eyes moving across pages in a dancing motion,Two cartoon eyes with ballet shoes pirouetting across open book pages with musical notes trailing behind.
97,imgs/1079_2.jpg,Cleanliness,Morality,She polished her moral compass daily.,She consistently reflected on and maintained her ethical principles and values.,She let her moral compass gather dust and tarnish in a forgotten drawer.,She deliberately ignored her moral principles and ethical values.,Maintaining and improving one's ethical standards through constant self-reflection.,"Moral compass, Person","Polished, Shiny, Well-maintained","Daily maintenance, Personal care",A woman carefully polishing a glowing golden compass with symbols of good and evil on its face.
98,imgs/1318_0.jpg,Heat,Intense Emotions,The heat of their argument left scorch marks on their friendship.,Their intense argument caused lasting damage to their friendship.,"The heat of their argument evaporated like morning mist, leaving their friendship untouched and unchanged.",Their argument had no lasting effect on their friendship.,Heated arguments can permanently damage relationships.,"Friendship, Argument, Heat, Scorch marks","Burning, Damaging, Permanent marking",Heat causing physical damage to something symbolic,Two friendship bracelets connected but partially burned and blackened with smoke rising from charred areas.
99,imgs/104_3.jpg,Line,Light,Lightning signed its jagged line across the sky.,"The lightning flash created a sharp, linear path through the clouds.",Lightning painted soft halos of diffuse glow across the sky.,"Lightning appeared as a soft, circular glow in the sky.",Lightning is personified as an author writing its signature in the sky.,"Lightning, Sky","Jagged, bright, signature-like",Lightning acting as a pen writing across the sky as paper,A glowing hand holding a lightning bolt pen signing a zigzag pattern across a dark sky.
100,imgs/454_0.jpg,Unity (of Two Complementary Parts),Love,Love is two rivers merging into one mighty stream.,"Love combines two separate lives into a stronger, unified journey.",Love is one river that drinks its tributary dry while surging forward alone.,Love forces one stream to dry up while the other flows freely.,Two separate entities becoming unified and stronger together.,"Rivers, Stream","Flowing, Merging, Becoming larger",Two separate flows combining into one stronger flow,Two blue rivers flow together forming one wider stream with hearts floating on the surface.
101,imgs/1668_1.jpg,Locations,Beliefs,Their beliefs are scattered like distant islands in vast seas.,Their beliefs are disconnected and lack coherent organization or unity.,Their beliefs form an integrated metropolis where every district connects through well-paved boulevards.,Their beliefs form a cohesive and well-connected system of thought.,Isolated and disconnected beliefs without coherent connection.,"Beliefs, Islands, Seas","Scattered, Distant, Vast","Islands separated by water, representing disconnected beliefs",Small rocky islands floating far apart in a blue ocean with thought bubbles rising from each island.
102,imgs/1375_1.jpg,Cold,Fear,The chill of fear numbed his ability to respond.,Fear made him unable to react appropriately to the situation.,The heat of fear ignited his reflexes and sharpened every response.,The warmth of fear heightened his reflexes and responses.,Fear paralyzes and prevents action.,"Fear, Person, Cold/Ice","Numbing, Paralyzing, Freezing",Fear acts like cold temperature freezing a person,"A person partially encased in ice, with frost spreading across their frozen, terrified face."
103,imgs/572_0.jpg,Change,Disparity,"The winds of change scatter some seeds on fertile soil, while others land on barren rock.","Changes in circumstances benefit some people while disadvantaging others, creating inequality.","The winds of change distribute every seed onto the same level ground, where each takes root in soil of identical richness.","Changes affect everyone equally, providing the same opportunities and outcomes for all.",Opportunities for success are not equally distributed.,"Wind, seeds, soil, rock","Fertile vs barren, scattered vs stationary",Wind dispersing seeds onto different surfaces with contrasting outcomes,"Seeds sprouting into plants on rich soil while withering on gray rocks, with swirling wind patterns connecting them."
104,imgs/1194_2.jpg,Distinct Individuals,Aspects Of The Self,The orchestra of self plays different tunes simultaneously.,Multiple aspects of my personality express themselves at the same time.,The self is a solitary performer frozen in a single unchanging pose.,"My personality expresses itself in a single, unchanging way.",Multiple aspects of personality coexisting within one person.,"Orchestra, Self (person)","Multiple instruments, Different tunes, Simultaneous playing",The self is compared to an orchestra playing multiple melodies at once,"A person's silhouette filled with various musical instruments, each playing colorful musical notes."
105,imgs/120_3.jpg,Cultivation,Creation,Ideas are seeds that need careful cultivation to bloom into creation.,Creative concepts require nurturing and development over time to become fully realized works.,"Ideas spring up as ripe harvests, materializing instantly without planting, tending, or growing seasons.",Ideas emerge instantly as finished creations without any need for development or care.,Ideas require nurturing and time to develop into fully formed creations.,"Ideas, Seeds, Plants","Growth, Development, Nurturing",Seeds transform into blooming plants through cultivation,A human brain sprouting colorful flowers from planted seeds in soil.
106,imgs/504_0.jpg,Body Of Water,Problem,"This problem is a whirlpool, pulling in resources and energy.","The problem consumes excessive time, money, and effort to address.","This problem is a shallow puddle, easily stepped over without wasting a drop of effort.",The problem requires minimal resources and effort to solve.,Consuming and destructive force that drains everything around it.,"Problem, Whirlpool","Spinning, pulling, consuming",Resources and energy being drawn into the center,"A dark swirling whirlpool with office supplies, money, and tired people being sucked into its center."
107,imgs/1289_3.jpg,Objects,Ideas,Revolutionary ideas are earthquakes shaking old foundations.,Groundbreaking ideas challenge and disrupt established beliefs and systems.,"Revolutionary ideas are cement poured into cracks, solidifying old foundations.",Revolutionary ideas maintain and strengthen existing systems.,Disruptive change that destroys established systems.,"Revolutionary ideas, earthquakes, foundations","Destructive, powerful, transformative",Ideas causing disruption to established structures,Ancient stone buildings crumbling as glowing lightbulbs emerge from cracks in the ground.
108,imgs/975_0.jpg,Up,Euphoric States,His happiness rocketed through the atmosphere.,His joy increased dramatically and intensely.,His happiness plummeted into the depths below.,His happiness crashed back to earth.,Sudden and explosive increase in joy.,"Happiness, Rocket","Fast-moving, Upward trajectory, Explosive",Happiness is compared to a rocket launching upward,"A person's smiling face attached to a launching rocket, leaving a trail of sparkles and hearts."
109,imgs/98_0.jpg,Weapons,Words,Their argument escalated into verbal nuclear warfare.,Their disagreement intensified to extremely destructive levels of communication.,Their argument remained a friendly sparring match with foam swords and padded armor.,Their argument remained contained and constructive throughout.,An argument that became extremely destructive and intense.,"Argument, Nuclear warfare","Explosive, destructive, escalating",Verbal conflict transforming into catastrophic destruction,Two people shouting with atomic explosions erupting from their mouths and mushroom clouds forming above.
110,imgs/117_0.jpg,Solid,Darkness,Night's steel grip held the world motionless.,The darkness created a sense of complete stillness and immobility in the environment.,"Night's gauze curtain parted freely, inviting movement through its weightless folds.",The darkness allowed for free movement and did not restrict activity in any way.,The night is oppressive and constraining.,"Night, Steel grip, World","Cold, metallic, immobilizing, dark",The night is personified as having a constraining grip on the world,"A dark metallic hand emerging from shadows, clutching a small glowing earth that appears frozen in time."
111,imgs/1196_1.jpg,Distinct Individuals,Aspects Of The Self,The actors in my mind perform different roles.,Different aspects of my personality emerge in various situations.,"A single, unchanging character in my mind delivers the same performance regardless of the audience or stage.",My personality remains constant regardless of the situation.,Multiple personalities or thoughts competing within one's consciousness.,"Actors, Mind, Roles","Multiple, Performing, Different",Actors performing within the space of mind,"A human head with a theater stage inside, showing multiple actors wearing different masks and costumes."
112,imgs/1357_2.jpg,Having A Form,Existence,The world crystallizes into distinct shapes.,Reality becomes apparent through clearly defined forms and structures.,"The world dissolves into formless mist, never condensing into separate entities.","The world remains fluid and formless, never solidifying into distinct entities.",Reality becomes clear and well-defined.,"World, Crystals","Transforming, Sharp edges, Clear structure",World transforming into crystalline forms,"A globe breaking apart into geometric crystal formations with sharp, clear edges and translucent faces."
113,imgs/1038_1.jpg,Motion,Action,The project's actions were gravitating toward failure.,The project was increasingly showing signs of inevitable failure.,The project's actions were accelerating on a trajectory toward certain success.,The project was steadily progressing toward certain success.,Inevitable downward movement towards disaster.,"Project, Black hole of failure","Downward pull, Inevitable movement",Project being pulled into failure like gravity pulls objects,"A stack of papers and folders spiraling down into a dark vortex labeled ""FAILURE."""
114,imgs/670_1.jpg,Temporal Precedence,Causal Precedence,The footsteps of time leave causal footprints behind.,Events that occur earlier in time create conditions that influence later outcomes.,Tomorrow's footsteps carve the causal path that yesterday must follow.,"Later events determine what happened in the past, reversing the natural order of causation.",Past events influence the present and future.,"Time, footprints","Sequential, permanent, marking",Time walking forward leaving marks that affect what comes after,"A clock with legs walking forward, leaving glowing footprints that ripple through a timeline."
115,imgs/536_1.jpg,People,Machines,"Like humans, machines have their own families and generations.","Like humans who are organized into family groups and sequential generations, machines are related through design lineages and evolve through successive versions and models.","Machines are solitary strangers, each born without ancestors and perishing without descendants or kin.","Unlike humans, machines have no relationships to one another and do not develop through iterative versions or design lineages.",Machines evolve and are connected like human family trees.,"Machines, Human families","Generational, Connected, Evolutionary",Parallel between machine development and human family structures,"A family tree diagram where computer models branch out like relatives, with older machines as grandparents and newer ones as children."
116,imgs/1577_0.jpg,Forces,Obligations,Their moral obligations accelerated like objects in free fall.,Their responsibilities rapidly increased in intensity and urgency.,"Their moral obligations decelerated like objects encountering friction, gradually losing force until they settled into gentle rest.",Their obligations decreased steadily and became less demanding over time.,Rapidly declining moral standards.,"Moral obligations, falling objects","Accelerating, downward movement, gravity",Moral standards rapidly descending like physical objects falling,"Books labeled ""morals"" and ""ethics"" plummeting down a dark void with increasing speed trails."
117,imgs/1302_0.jpg,Giving An Object,Creating,Nature presents new life to the earth each spring.,New plants and animals are created naturally during springtime.,Spring bestows decay and death upon the natural world as its annual gift.,Spring brings death and decay to the natural world.,Nature is a gift-giver bringing renewal and rebirth.,"Nature, Earth, Spring season","New life, renewal, presentation, cyclical giving",Nature actively giving/presenting to Earth like a gift-giver,A feminine figure in green robes presenting a glowing seedling to a soil-covered Earth sphere.
118,imgs/1177_2.jpg,Light Source,Intelligence,Their ideas are sparks in the night sky.,"Their intelligent thoughts appear briefly but brilliantly, inspiring others.","Their ideas are burnt-out bulbs in a dim room, casting no light and inspiring no one.",Their ideas are dull and fail to inspire or illuminate anything.,Brilliant and fleeting moments of inspiration.,"Ideas, Sparks, Night sky","Bright, temporary, scattered, illuminating",Sparks appearing against dark background,Glowing lightbulbs floating upward like fireflies against a dark starlit sky.
119,imgs/1295_0.jpg,Forces,Emotions,Hope is a buoyant force keeping us afloat in troubled waters.,Hope helps us maintain emotional stability during difficult times.,Hope is an anchor dragging us down into the depths of our troubles.,Hope drags us down deeper into our troubles.,Hope provides support during difficult times.,"Hope, Water, Person","Buoyant, Troubled waters, Floating",Hope acts as a life preserver keeping person above water,"A person floating in stormy waters, supported by a glowing life preserver labeled ""Hope""."
120,imgs/901_1.jpg,Heat,Anger,The heat of her fury scorched everyone in the room.,Her intense anger affected everyone present in a negative way.,The cool breeze of her serenity refreshed everyone in the room.,Her calm demeanor brought peace to everyone in the room.,Intense anger affecting others.,"Angry person, Room, Heat/Fire","Scorching, Intense, Spreading",Person's anger affecting others through heat/fire,A woman radiating red flames that engulf bystanders who shield themselves from the heat.
121,imgs/176_3.jpg,Being In A Harmful Location,Harm,She's walking through a storm of negativity.,She's enduring a period of intense harmful experiences.,She's strolling through a garden of tranquility and sunshine.,She's experiencing a period of perfect calm and positivity.,Struggling against overwhelming negative circumstances.,"Person, Storm","Dark clouds, wind, negative symbols",Person moving through/against hostile environment,A woman walking against dark storm clouds swirling with floating minus signs and frowning faces.
122,imgs/1329_1.jpg,Comparison Of Possessions (non-evaluative),Comparison Of Properties,Their qualities are curated like a museum collection.,"People carefully develop and maintain their characteristics, similar to how museums preserve collections.","Their qualities accumulate like random items in a junk drawer, gathered haphazardly without selection or care.",Their qualities develop randomly without any conscious cultivation or maintenance.,Carefully selected and displayed with precision and value.,"Personal qualities, Museum collection","Organized, selective, displayed, valuable",Qualities being treated as precious artifacts in a museum display,A person standing in a glass display case with their attributes labeled on museum plaques.
123,imgs/285_0.jpg,Locations,Ideas,The solution lies in an underground cavern of possibilities.,"The answer can be found by exploring deeper, hidden options.","The solution sits plainly at the mountain's summit, visible to anyone who simply looks up.",The solution is obvious and visible on the surface.,Hidden potential and unexplored opportunities.,"Underground cavern, Solution","Hidden, Deep, Mysterious, Multiple paths",Solution is contained within the cavern's depths,A glowing key floating in a dark cave with multiple branching tunnels radiating outward.
124,imgs/281_0.jpg,Locations,Ideas,Her mind is a bustling metropolis of interconnected thoughts.,She has many complex and related ideas actively working together.,Her mind is a barren desert where no meaningful thoughts can take root or flourish.,Her mind is empty and devoid of any meaningful thoughts.,Complex and active mental activity.,"Mind, City/Metropolis","Bustling, interconnected, active",Mind is compared to a busy city with multiple connections,"A human head with a glowing cityscape inside, connected by bright neural pathways as streets."
125,imgs/1279_2.jpg,Journey,Longterm Purposeful Activity,"We've reached base camp, but the summit still towers above.","We've achieved initial success, but our ultimate goal requires much more effort.",We've reached the trailhead and planted our flag at journey's end.,Our initial progress represents complete success with no further work needed.,Initial progress made but much bigger challenges remain ahead.,"Base camp, mountain summit, climbers","Height, distance, challenge","Position at bottom, looking up at towering peak","Tiny climbers at base camp gazing up at an enormous, misty mountain peak looming above them."
126,imgs/756_0.jpg,Beings With Life Cycles,Theories,The theory flourished in the scientific community.,The theory gained widespread acceptance and support among scientists.,The theory withered and died in the scientific community.,The theory was rejected and dismissed by the scientific community.,The theory grew and became widely accepted.,"Theory, Scientific Community","Growth, Expansion, Acceptance",Theory is portrayed as a plant growing within a community,A blooming tree with equations on its leaves spreading roots through a garden of scientists.
127,imgs/811_1.jpg,Life,Existence,Life breathes color into existence's empty rooms.,Our lived experiences give meaning and richness to our otherwise abstract existence.,"Life finds existence's rooms already painted, each wall complete without breath or brushstroke.","Existence is complete and meaningful on its own, requiring no enrichment from life's experiences.",Life brings vibrancy and meaning to otherwise empty existence.,"Life, rooms, colors","Empty, colorful, transformative",Life actively fills emptiness with color,A stream of rainbow colors flowing through an open door into a stark white room.
128,imgs/146_1.jpg,Body,Mind,Her mind needed proper nutrition through reading.,She required intellectual stimulation through reading to maintain mental health.,"Her mind thrived on emptiness, remaining robust without ever being fed through reading.",Her mind remained healthy without any intellectual input or stimulation.,Knowledge is food for the brain.,"Mind, Books, Food/Nutrition","Nourishing, Feeding, Growing",Mind consuming knowledge like food for sustenance,A brain sitting at a dinner table eating books with a knife and fork.
129,imgs/1090_0.jpg,Food,Ideas,Her ideas were a feast for the mind.,Her ideas were intellectually satisfying and provided abundant mental stimulation.,Her ideas were stale crumbs that left the mind starving.,Her ideas were intellectually barren and provided no mental nourishment.,Intellectually nourishing and abundant.,"Ideas, Feast, Mind","Abundant, nourishing, satisfying",Ideas are presented as food that feeds the mind,"A brain sitting at a banquet table filled with glowing books, scrolls, and floating symbols."
130,imgs/1184_0.jpg,Physical Properties,Properties,Properties are thermal conductors of wealth.,Properties effectively transfer and generate wealth through various economic channels.,Properties are thermal insulators that trap and stagnate wealth rather than allowing it to flow.,Properties inhibit wealth creation and block economic growth.,Properties transfer and accumulate wealth like heat flows through conductors.,"Properties, thermal conductors, wealth","Conductive, transferable, flowing",Properties act as channels that transfer and accumulate wealth,A glowing house radiating golden heat waves that transform into flowing coins and dollar signs.
131,imgs/548_3.jpg,Competition For Desired Objects,Competition,The market is a nest of seagulls fighting over a single fish.,The market is characterized by fierce competition among many participants aggressively pursuing the same scarce and valuable resources.,The market is a flock of doves peacefully circling an overflowing field of grain.,The market is characterized by collaborative participants peacefully sharing abundant resources.,Competitive and chaotic environment where many fight over limited resources.,"Market, seagulls, fish, nest","Chaotic, aggressive, competitive",Multiple entities fighting over one resource,A group of frenzied seagulls in business suits squawking and clashing over a golden fish.
132,imgs/1415_1.jpg,Substance Directed At An Affected Party,Force,Success injected new energy into the team's morale.,Their achievement significantly boosted the team's confidence and motivation.,"Failure siphoned all vitality from the team, leaving their morale utterly depleted.",Failure drained the team's energy and destroyed their morale.,Success revitalized and energized the team.,"Team, Energy, Syringe","Energetic, Renewed, Invigorated",Energy being injected into team like medicine,"A giant syringe labeled ""success"" injecting glowing energy into a group of smiling team members."
133,imgs/793_3.jpg,Plants,People,His ideas flourished in the fertile environment of the university.,His ideas developed successfully in the supportive and resource-rich environment of the university.,His ideas withered in the barren soil of the university.,His ideas withered and failed in the restrictive environment of the university.,Ideas grow and develop like plants in nurturing conditions.,"Ideas, University environment","Growing, flourishing, fertile",Ideas growing within academic space like plants in soil,"Light bulbs sprouting like flowers from books in a university garden, with students tending to them."
134,imgs/983_3.jpg,Warmth,Affection,Their love wrapped around them like a heated blanket.,Their affection provided mutual comfort and protection.,"Their affection was a bitter wind that stripped away any warmth, leaving them shivering and exposed.",Their relationship left them feeling exposed and vulnerable.,Warm comfort and protection.,"Love, Couple, Heated blanket","Warm, Enveloping, Protective","Wrapping around, Embracing, Comforting",A couple embraced within a glowing electric blanket that forms a heart shape around them.
135,imgs/889_0.jpg,Balance,Emotional Stability,Her emotional equilibrium is a master juggler's performance.,She expertly manages multiple emotional demands simultaneously.,"Her emotional equilibrium is a novice juggler's disaster, every ball fumbled and crashing to the ground.",She drops and mishandles every emotional challenge that comes her way.,Skillfully maintaining balance despite multiple emotional challenges.,"Emotional state, Juggler","Balance, skill, multiple elements in motion",Managing multiple emotions simultaneously with expertise,A woman gracefully juggling different colored orbs labeled with emotions while standing on a tightrope.
136,imgs/303_0.jpg,Money,Time,She deposited extra hours into her weekend savings.,She set aside additional time for weekend activities.,"She bankrupted her weekend account, burning through every hour without a budget.",She completely depleted her weekend time without planning.,Time is being treated as money that can be saved and stored.,"Hours (time), Bank/Savings account","Countable, storable, valuable",Depositing time like money into a savings account,"A piggy bank with clock faces falling into it like coins, showing weekend days on its side."
137,imgs/167_0.jpg,"Touching, Eyes Are Limbs",Seeing,His gaze climbed the towering building.,He looked up the building from bottom to top.,His gaze remained rooted at the building's foundation.,He only looked at the base of the building.,Looking upward gradually from bottom to top.,"Gaze (eyes), Building","Vertical movement, Height, Gradual ascent",Eyes moving upward along building's surface,A pair of floating eyes following a dotted line that spirals up a skyscraper.
138,imgs/94_3.jpg,Weapons,Words,The debate was a crossfire of verbal artillery.,The discussion involved intense exchanges of aggressive arguments from both sides.,"The debate was a pillow fight of whispered suggestions, each word a feather drifting softly down.",The debate was a peaceful exchange of gentle suggestions.,Intense and hostile exchange of arguments.,"Debate, Artillery, Crossfire","Hostile, Intense, Explosive",Words being exchanged like bullets in battle,Two people shouting with words emerging as fiery cannonballs crossing paths between them.
139,imgs/772_1.jpg,Pursuer,Time,"Time stalks us through the corridors of life, never losing our trail.","Time consistently follows our life's progression, marking every stage of our journey.","Time wanders aimlessly through life's corridors, constantly losing our scent and abandoning the chase.","Time frequently loses track of us, allowing us to escape its influence.",Time is a relentless pursuer that we can't escape.,"Time, Human, Corridor","Predatory, Relentless, Shadowy","Stalking, Pursuing, Hunting",A shadowy figure with a clock face chases a person through a dark endless hallway.
140,imgs/1870_2.jpg,Linguistic Communication,Communication,Words are bridges connecting minds across the void.,Communication enables people to share thoughts and understanding with each other.,Words are walls that isolate minds in separate chambers of misunderstanding.,Words create barriers that prevent understanding between people.,Communication connects people's thoughts across distance and separation.,"Words, bridges, minds, void","Connecting, spanning, linking",Words acting as physical bridges between floating minds,Two floating human heads connected by a bridge made of glowing letters spanning a dark void.
141,imgs/1836_3.jpg,Region In A Landscape,Problem,We're standing at the edge of this problem's precipice.,We're at a critical point where our decisions about the problem have serious consequences.,We're meandering through the middle of this problem's shallow puddle.,Our decisions about the problem have no significant impact or consequences.,Facing a dangerous or critical situation that requires careful handling.,"People, Cliff edge, Problem","Dangerous, Steep, Precarious","Standing at the edge, Looking down","Two people peering down a steep cliff with the word ""PROBLEM"" carved into crumbling rocks beneath their feet."
142,imgs/1034_1.jpg,Motion,Action,The action orbited around the central issue.,All activities and decisions were related to and influenced by the main problem.,"The actions shot off on tangents, never intersecting with the central issue.",The actions were completely disconnected from the main issue.,Multiple actions or events revolving around one main problem.,"Actions, Central issue","Circular motion, Gravitational pull, Centrality",Actions moving in orbit around a central point,"Multiple paper documents circling like planets around a glowing red sphere labeled ""ISSUE""."
143,imgs/1794_3.jpg,Target,Problem,This problem is a target hidden in the fog.,The nature of the problem is unclear and difficult to understand fully.,This problem is a bullseye painted in neon under stadium lights.,The problem is completely transparent and easily understood by everyone.,Something difficult to understand or solve due to unclear circumstances.,"Problem, Target, Fog","Hidden, Obscured, Unclear","Target is concealed by fog, making it hard to see/reach","A bullseye target partially obscured by swirling gray fog, with only faint red rings visible."
144,imgs/33_1.jpg,Control Over An Object Relative To A Possessor,Causation,The manager juggled all the moving pieces.,The manager actively coordinated and controlled multiple aspects simultaneously.,The manager let all the pieces slip through his fingers and fall where they may.,The manager allowed events to unfold without coordination or intervention.,Managing multiple tasks simultaneously with skill.,"Manager, Moving pieces","Multiple, In motion, Requiring coordination","Juggling action, Maintaining control",A business person in a suit juggling colorful gears and project folders while standing confidently.
145,imgs/588_1.jpg,Eating,Getting,The project was too big to swallow at once.,The project was too complex to handle or acquire in a single attempt.,"The project was a bite-sized morsel, snapped up in one quick gulp.",The project was simple enough to complete in one quick effort.,The project is overwhelming and difficult to handle in one attempt.,"Project, Person","Large size, Overwhelming, Difficult to consume",Attempting to consume/handle something too large,"A person with wide eyes trying to fit an oversized sandwich labeled ""PROJECT"" into their mouth."
146,imgs/1882_0.jpg,Ingesting A Substance Compulsively,Acting Compulsively,She's overdosing on retail therapy.,Her shopping habit has become excessive and harmful to her wellbeing.,"She microdoses on shopping, never exceeding her prescribed budget.",She shops mindfully and always stays within her budget.,Excessive and unhealthy shopping behavior.,"Shopping bags, pills, person","Overwhelming quantity, medical/addiction imagery",Person consuming/surrounded by shopping items like medicine,A woman swallowing shopping bags like pills while surrounded by scattered receipts and credit cards.
147,imgs/1858_3.jpg,Visibility,Existence,Their love glowed like a constant star.,Their relationship maintained a steady and enduring existence.,"Their love flickered like a dying ember, briefly visible before vanishing into darkness.",Their relationship was unstable and quickly faded away.,Enduring and bright love that never fades.,"Love, Star","Glowing, constant, bright, eternal",Love is compared to a star's eternal brightness,"Two hearts intertwined, radiating starlight with a bright star pulsing in their center."
