,source,target,metaphor,linguistic_metaphor,implicit_meaning,object,properties,relations,visual_elaboration
318,Motion,Form,897,The contours sprint through the framework.,Dynamic movement and energy within a structured space.,"Contours, Framework","Fast-moving, flowing, structured",Movement through a defined space,Flowing lines racing through a geometric grid structure with motion blur trails behind them.
319,Locations,Beliefs,1668,Their beliefs are scattered like distant islands in vast seas.,Isolated and disconnected beliefs without coherent connection.,"Beliefs, Islands, Seas","Scattered, Distant, Vast","Islands separated by water, representing disconnected beliefs",Small rocky islands floating far apart in a blue ocean with thought bubbles rising from each island.
320,Covers For The Facts,Theories,851,Each theory is a protective shell wrapped around the nucleus of truth.,Theories protect and encapsulate fundamental truths.,"Theory as shell, Truth as nucleus","Protective, Enclosing, Central",Shell wrapping around and protecting the core truth,An atom-like structure with a glowing truth sphere in center surrounded by layered theoretical shells.
321,Region In A Landscape,Problem,1837,The problem's terrain is riddled with hidden pitfalls.,A situation full of unseen dangers and difficulties.,Problem represented as terrain/landscape,"Dangerous, treacherous, hidden hazards",Navigation through dangerous ground,"A misty landscape with partially concealed holes and warning signs, where some ground is crumbling away."
322,Cold,Fear,1375,The chill of fear numbed his ability to respond.,Fear paralyzes and prevents action.,"Fear, Person, Cold/Ice","Numbing, Paralyzing, Freezing",Fear acts like cold temperature freezing a person,"A person partially encased in ice, with frost spreading across their frozen, terrified face."
323,Change,Disparity,572,"The winds of change scatter some seeds on fertile soil, while others land on barren rock.",Opportunities for success are not equally distributed.,"Wind, seeds, soil, rock","Fertile vs barren, scattered vs stationary",Wind dispersing seeds onto different surfaces with contrasting outcomes,"Seeds sprouting into plants on rich soil while withering on gray rocks, with swirling wind patterns connecting them."
324,Having A Harmful Possession,Harm,432,That grudge was a burning coal she held in her bare hands.,Holding onto anger hurts oneself.,"Grudge, Coal, Hands","Burning, Painful, Self-destructive",Person holding something harmful to themselves,A woman with pained expression holding a glowing red coal that burns her palms.
325,Blinding,Strong Emotion,1258,Hope blazed like a blinding beacon through despair.,Hope is a powerful light that cuts through darkness.,"Beacon, Hope, Despair","Bright, blinding, blazing",Light piercing through darkness,"A bright lighthouse beam cutting through dark storm clouds, creating a golden path."
326,Moving Object,Force,780,The rolling boulder of momentum carries the force forward.,Unstoppable progress or movement gaining strength.,"Boulder, Momentum, Force","Rolling, Moving, Growing","Boulder carries force forward, gaining speed","A massive boulder rolling downhill, growing larger as it collects snow and debris."
327,Shopping,Comparing And Seeking,299,The shopping list of priorities guides our search for fulfillment.,Life goals are like items we need to check off a list to feel complete.,"Shopping list, priorities, fulfillment","Guiding, sequential, goal-oriented",List serves as a path toward achieving fulfillment,"A glowing shopping list floating in space with checkboxes, each checked item releasing a small burst of light."
328,Perceptions,Ideas,1204,Our perceptions paint ideas with different emotional colors.,Emotions influence how we interpret and understand ideas.,"Perceptions, Ideas, Colors","Emotional, varied, painterly",Perceptions actively coloring/painting ideas,A paintbrush dipped in rainbow colors painting abstract thought bubbles with different emotional faces inside each.
329,Substance Contained In Affecting Causes,Force,718,Wisdom flowed through his actions like a powerful current.,Knowledge manifests through purposeful movement and direction.,"Wisdom, Current/Water, Actions","Flowing, Powerful, Directional",Wisdom is portrayed as water moving with force and purpose,"A glowing figure performing actions while surrounded by swirling, luminous water streams."
330,Tightness,Complience,1497,Compliance bound the organization like a compressed spring.,Tension and pressure from strict rules causing potential reactive force.,"Organization, Spring","Compressed, Tense, Bound",Compliance restricting and pressuring the organization,"A tightly coiled metal spring wrapped around a corporate building, squeezing it inward."
331,Distinct Individuals,Aspects Of The Self,1194,The orchestra of self plays different tunes simultaneously.,Multiple aspects of personality coexisting within one person.,"Orchestra, Self (person)","Multiple instruments, Different tunes, Simultaneous playing",The self is compared to an orchestra playing multiple melodies at once,"A person's silhouette filled with various musical instruments, each playing colorful musical notes."
332,Difficulty Is Moving,Difficulty,490,The difficulty crawled through my mind like a slow-moving fog.,Mental confusion and unclear thinking.,"Mind, Fog","Slow-moving, crawling, cloudy, obscuring",Fog moving through mental space,A human head with transparent sides showing dense fog slowly swirling inside the brain.
333,Plants,People,794,The old man's wisdom branched out in many directions.,Knowledge spreading and growing like a tree.,"Old man's wisdom, Tree branches","Spreading, Growing, Multiple directions",Wisdom is compared to growing tree branches,"An elderly man's head with tree branches growing from it, each branch glowing with wisdom symbols."
334,Location (here),Existence,699,Here writes the story of being.,Life itself is a narrative being written in the present moment.,"Story, Writing, Being/Life","Ongoing, Present tense, Continuous action",Writing process connected to existence itself,An open book with blank pages being written by invisible hands while life scenes float above the pages.
335,Paths,Linear Scales,1344,The path's distance markers guide us through the scale's progression.,Musical progression follows a structured journey like a marked path.,"Path, Distance markers, Musical scale","Sequential, Guiding, Progressive",Markers guide movement through both physical and musical space,"A winding path with musical notes as distance markers, ascending uphill like a scale."
336,Cultivation,Creation,120,Ideas are seeds that need careful cultivation to bloom into creation.,Ideas require nurturing and time to develop into fully formed creations.,"Ideas, Seeds, Plants","Growth, Development, Nurturing",Seeds transform into blooming plants through cultivation,A human brain sprouting colorful flowers from planted seeds in soil.
337,Body Of Water,Problem,504,"This problem is a whirlpool, pulling in resources and energy.",Consuming and destructive force that drains everything around it.,"Problem, Whirlpool","Spinning, pulling, consuming",Resources and energy being drawn into the center,"A dark swirling whirlpool with office supplies, money, and tired people being sucked into its center."
338,Maintaining Position,Emotional Stability,350,She stands firm like a deeply rooted tree in emotional storms.,Emotional stability and resilience in difficult times.,"Woman, Tree","Deeply rooted, firm, stable",Standing against emotional storms,"A woman's body merging into a tree trunk with deep roots, while storm clouds swirl around her calm face."
339,Objects,Ideas,1289,Revolutionary ideas are earthquakes shaking old foundations.,Disruptive change that destroys established systems.,"Revolutionary ideas, earthquakes, foundations","Destructive, powerful, transformative",Ideas causing disruption to established structures,Ancient stone buildings crumbling as glowing lightbulbs emerge from cracks in the ground.
340,Madness,Love,567,The madhouse of romance echoes with reason's screams.,Love makes people act irrationally and against their better judgment.,"Madhouse, Romance, Reason","Chaotic, Insane, Screaming","Reason is trapped inside romance's madhouse, screaming to be heard","A Victorian asylum with heart-shaped windows, where a figure labeled ""Reason"" is locked behind bars, screaming."
341,Forces Affecting,External Events Affecting Progress,275,"Social trends created a powerful current, sweeping their plans in unexpected directions.",Uncontrollable social forces changing intended outcomes.,"Social trends, plans, current/water","Powerful, unexpected, sweeping",Current forces moving objects against their intended direction,Paper boats being swept away by a swirling ocean current into different directions.
342,Getting Destroyed,Intoxication,643,Each shot was another bomb dropping on his consciousness.,Devastating psychological impact of repeated actions.,"Shots, bombs, consciousness","Destructive, repetitive, impactful","Shots are compared to bombs, consciousness is the target","A human head with multiple bombs exploding inside, creating cracks in the skull."
343,Life,Existence,818,Life is the gardener in existence's field.,Life shapes and cultivates our experiences and growth.,"Life personified as a gardener, existence as a field","Nurturing, growing, cultivating",Life actively shapes and tends to existence like a gardener tends to plants,A mystical gardener with glowing hands planting colorful souls in a vast cosmic field.
344,People wrt Opinions,Theories,1216,"Some theories, like attention-seekers, make bold claims but lack substance.",Empty showmanship without real value.,"Theories, Attention-seekers","Bold, Hollow, Showy",Making claims without backing,"A large, colorful balloon with academic formulas written on it, deflating and sagging to reveal it's empty inside."
345,Something Moving Toward You,Time,1489,Time is a missile locked onto the target of now.,Time moves forward relentlessly and with precision.,"Time, Missile, Target","Fast-moving, Precise, Unstoppable","Missile pursuing target, representing time's forward motion","A sleek missile with a clock face chasing a glowing target labeled ""NOW"" through space."
346,Magic,Love,157,Love is a wizard's tome of infinite mysteries.,"Love is complex, magical, and endlessly mysterious.","Love, Wizard's tome","Infinite, mysterious, magical",Love being compared to a magical book containing endless secrets,"A glowing spellbook with floating hearts emerging from its open pages, surrounded by sparkling magical runes."
347,Causal Relations,Logical Relations,596,Causal stepping stones bridge the rapids of logical inference.,Sequential reasoning helps navigate complex logical problems.,"Stepping stones, Rapids, Bridge","Sequential, Dangerous waters, Safe passage",Stones provide safe crossing over turbulent waters,A series of glowing stones forming a path across turbulent waters with mathematical symbols swirling in the rapids.
348,Warmth,Affection,982,The warmth of her friendship melted all barriers.,Friendship overcomes social or emotional obstacles.,"Warmth, Barriers, Friendship","Warm, Melting, Solid becoming liquid","Warmth acts upon barriers, causing them to dissolve",A glowing figure radiating warm light that melts surrounding ice walls into puddles.
349,Constructed Object,Problem,213,This problem is a maze with shifting walls.,Complex and constantly changing situation that's difficult to solve.,"Problem, Maze","Shifting, Complex, Confusing",Problem is represented as a physical maze structure that changes unpredictably,A person stands in a labyrinth where stone walls move and rotate like puzzle pieces.
350,War,Competition,1940,The marketplace is a battlefield where competitors clash for supremacy.,Business competition is aggressive and combative.,"Marketplace, Battlefield","Competitive, Violent, Strategic",Businesses fighting against each other for dominance,Business people in suits wielding swords and shields on a medieval battlefield with company logos on their armor.
351,Getting Destroyed,Intoxication,645,His memory was shattered like glass under a sledgehammer.,Traumatic destruction of memories.,"Memory, Glass, Sledgehammer","Fragile, Broken, Destructive","Violent breaking, Shattering impact","A glass brain shattering into pieces as a sledgehammer strikes it, with memory fragments flying outward."
352,Container For The Self,Body,1740,My body is a vessel carrying my essence through life.,The physical body serves as a container for the soul or spirit.,"Human body, vessel (ship/container)","Hollow, containing, protective","Carrying, moving through time/space",A transparent human silhouette filled with glowing ethereal light sailing across ocean waves.
353,Up,Euphoric States,975,His happiness rocketed through the atmosphere.,Sudden and explosive increase in joy.,"Happiness, Rocket","Fast-moving, Upward trajectory, Explosive",Happiness is compared to a rocket launching upward,"A person's smiling face attached to a launching rocket, leaving a trail of sparkles and hearts."
354,Constructed Object,Problem,218,The problem's framework is showing stress fractures.,A situation is beginning to fail or break down under pressure.,"Framework, Problem","Cracking, Breaking, Structural weakness",Framework supporting problem is failing,A glass building structure with visible cracks spreading across its surface while supporting a heavy dark mass.
355,Weapons,Words,98,Their argument escalated into verbal nuclear warfare.,An argument that became extremely destructive and intense.,"Argument, Nuclear warfare","Explosive, destructive, escalating",Verbal conflict transforming into catastrophic destruction,Two people shouting with atomic explosions erupting from their mouths and mushroom clouds forming above.
356,Having A Harmful Possession,Harm,433,His anger issues were a ticking time bomb in his pocket.,Uncontrolled anger that could explode at any moment.,"Time bomb, Anger, Person","Ticking, Explosive, Dangerous","The bomb is contained within the person, ready to detonate","A man with a glowing red bomb visible through his transparent pocket, its timer counting down rapidly."
357,Substance Directed At An Affected Party,Force,1414,The venom of jealousy corroded their friendship.,Jealousy destroys relationships like poison eating through material.,"Venom, Friendship","Corrosive, Destructive, Toxic",Venom actively destroying/dissolving friendship,Two clasped hands dissolving where green venom drips onto them.
358,Wealth,Well-being,1731,The investments in self-care yield rich dividends of contentment.,Taking care of oneself leads to positive returns in happiness and well-being.,Self-care activities and monetary investments,"Growth, returns, value increase",Investment leads to rewards/returns,A person watering a money tree that blooms with glowing happiness emojis instead of dollar signs.
359,Motion,Change,53,Progress leaps forward in bounds.,Rapid advancement or development happening in big jumps rather than gradually.,"Progress, Movement","Forward motion, Leaping, Bounding",Progress is personified as something that can leap and bound forward,"A figure jumping up stairs that get progressively larger, leaving glowing footprints behind."
360,Solid,Darkness,117,Night's steel grip held the world motionless.,The night is oppressive and constraining.,"Night, Steel grip, World","Cold, metallic, immobilizing, dark",The night is personified as having a constraining grip on the world,"A dark metallic hand emerging from shadows, clutching a small glowing earth that appears frozen in time."
361,Distinct Individuals,Aspects Of The Self,1196,The actors in my mind perform different roles.,Multiple personalities or thoughts competing within one's consciousness.,"Actors, Mind, Roles","Multiple, Performing, Different",Actors performing within the space of mind,"A human head with a theater stage inside, showing multiple actors wearing different masks and costumes."
362,Change,Disparity,575,The earthquake of change shakes some foundations harder than others.,Change impacts different people or institutions with varying degrees of severity.,"Earthquake, Buildings/Foundations","Varying intensities of shaking, Different levels of stability",Earthquake causing different degrees of damage to different structures,"Multiple buildings on shaking ground, some crumbling while others remain intact, with visible seismic waves beneath."
363,Comparison Of Physical Properties,Comparison Of Properties,1844,Physical properties are the bridge connecting concrete and abstract comparisons.,Physical properties serve as a connection between tangible and intangible concepts.,"Bridge, Concrete concepts, Abstract concepts","Physical, Connecting, Spanning",Bridge links two different types of concepts,A solid stone bridge connecting a realistic city to a floating dreamlike world of symbols.
364,Cleanliness,Morality,1078,Their reputation remained unsullied by scandal.,"Pure and clean, untouched by negative influences.",Reputation (abstract concept),"Clean, pure, untarnished",Resistance to stains/dirt (scandals),"A pristine white cloth floating above muddy waters, remaining spotless and bright."
365,Aligned,Coherent,629,The project plan was laid out like a precise architectural blueprint.,Detailed and meticulously organized.,"Project plan, Architectural blueprint","Precise, detailed, structured","Plan is compared to blueprint, suggesting organization and detail","A blueprint with project tasks drawn as building elements, complete with measurements and annotations."
366,Something Moving Toward You,Time,1481,The future rushes at us like an approaching storm.,Impending change or danger that is inevitable and overwhelming.,"Future, Storm","Fast-moving, threatening, overwhelming","Moving towards observer, creating sense of imminent impact",A person standing before a massive dark storm cloud shaped like a clock face rushing towards them.
367,Locations,Beliefs,1669,His convictions are buried treasure in unexplored depths.,Deep-held beliefs that are valuable but hidden from others.,"Convictions, Treasure","Buried, Hidden, Valuable, Deep","Treasure is buried deep underwater, representing hidden beliefs","A glowing treasure chest with beliefs written on scrolls, buried in dark ocean depths with mysterious sea creatures."
368,Distinct Individuals,Aspects Of The Self,1191,My inner crowd holds opposing protest signs.,Internal conflict and contradicting thoughts.,"Inner crowd, protest signs","Opposing, conflicting, internal",Multiple viewpoints within one's mind fighting against each other,A brain split in half with tiny protesters holding opposing signs marching inside each hemisphere.
369,Birthing,Creating,395,His novel experienced a difficult delivery into the publishing world.,The process of publishing the book was challenging and painful.,"Novel, Birth/Delivery","Difficult, Painful, Challenging","Novel being ""born"" into publishing world like a baby being delivered",A book in a hospital gown emerging painfully through delivery room doors with a doctor in scrubs.
370,Resource,Time,1805,Time is a scarce raw material.,Time is valuable and limited.,"Time, Raw Material","Scarce, Limited, Valuable",Time being compared to a depleting resource,An hourglass filled with gold dust rapidly running low with worried hands reaching for it.
371,Machine,Mind,337,Education is the software upgrade for the mind.,Education improves and enhances mental capabilities.,"Education, Mind, Software upgrade","Improvement, Enhancement, Progress",Education acts as an upgrading mechanism for mental capacity,A human brain with loading bars and update symbols floating around it while glowing with digital code.
372,Commercial Transaction,Causation,130,His actions paid dividends in causing the project's success.,Small efforts leading to large rewards over time.,"Actions, Dividends, Project","Growth, Multiplication, Investment",Actions leading to multiplying returns,A person planting money seeds that grow into large money trees with project success written on golden fruits.
373,"Touching, Eyes Are Limbs",Seeing,168,Her eyes traced the contours of his face.,Intense visual observation with careful attention to detail.,"Eyes, Face","Moving, Observing, Detailed",Eyes acting like a drawing tool on the face's surface,A pencil with an eye at its tip sketching lines across a man's face profile.
374,Having A Form,Existence,1357,The world crystallizes into distinct shapes.,Reality becomes clear and well-defined.,"World, Crystals","Transforming, Sharp edges, Clear structure",World transforming into crystalline forms,"A globe breaking apart into geometric crystal formations with sharp, clear edges and translucent faces."
375,Motion,Action,1038,The project's actions were gravitating toward failure.,Inevitable downward movement towards disaster.,"Project, Black hole of failure","Downward pull, Inevitable movement",Project being pulled into failure like gravity pulls objects,"A stack of papers and folders spiraling down into a dark vortex labeled ""FAILURE."""
376,Temporal Precedence,Causal Precedence,674,The river of time carries cause to effect's shore.,Time flows linearly from cause to consequence.,"River, Time, Shore","Flowing, Continuous, Directional",River carries objects from one shore (cause) to another shore (effect),"A winding clock-faced river flowing between two shores, one labeled ""cause"" and the other ""effect""."
377,Journey,Love,1058,Love is a pilgrimage of two souls.,A shared spiritual journey between two people.,"Two souls, pilgrimage path","Spiritual, journey-like, shared path",Two entities traveling together on a sacred journey,Two glowing figures walking hand-in-hand on a winding path toward a bright horizon.
378,Control Over Possessions,Action,191,He locked away his impulses in a secure vault.,Suppressing or controlling one's desires or urges through strict self-discipline.,"Vault, Impulses, Person","Secure, Locked, Contained",Person actively containing/imprisoning impulses within vault,A steel vault with glowing emotions trying to escape through its cracks while a person turns the lock.
379,Following,Complience,1386,Compliance is a compass needle following magnetic north.,Automatic obedience to rules without questioning.,"Compass needle, Magnetic north","Automatic movement, Unwavering direction","Following, Being pulled towards",A giant compass needle with human legs robotically marching towards a glowing magnetic north pole.
380,Causal Relations,Logical Relations,595,The clockwork of causality drives the gears of logic.,"Logical reasoning follows a precise, mechanical sequence of cause and effect.","Clockwork mechanism, gears","Mechanical, precise, interconnected",One gear drives another in a sequential pattern,"A transparent brain made of interconnected golden gears, with ""cause"" and ""effect"" written on two main connecting cogs."
381,Purity,Morality,1679,His character was sanctified by unwavering integrity.,Pure and morally upright.,"Character, Integrity","Sacred, Pure, Unwavering",Integrity transforms character into something holy,A glowing figure surrounded by a golden halo with a solid marble foundation beneath.
382,Resource,Time,1803,Time is a shared water reservoir.,Time is a finite resource that everyone must share and use carefully.,"Time, Water Reservoir","Limited, Shared, Depleting",Multiple people drawing from same source,"A large water reservoir with multiple people drawing water with buckets, while the water level visibly decreases."
383,Objects,Ideas,1283,This idea is a sharp knife cutting through confusion.,Clarity and precision in understanding.,"Idea, Knife, Confusion","Sharp, Clear, Cutting","Knife cutting through confusion, representing clarity","A glowing knife slicing through a dark, foggy cloud, creating a clear path."
384,Temporal Precedence,Causal Precedence,670,The footsteps of time leave causal footprints behind.,Past events influence the present and future.,"Time, footprints","Sequential, permanent, marking",Time walking forward leaving marks that affect what comes after,"A clock with legs walking forward, leaving glowing footprints that ripple through a timeline."
385,Physical Properties,Properties,1188,Properties are friction points in economic motion.,Property ownership creates resistance in economic flow and transactions.,"Properties, Friction points, Economic motion","Resistant, Slowing, Hindering",Properties act as obstacles that slow down economic movement,"A flowing river of money being slowed by rough rocks labeled ""Property"" creating visible turbulence."
386,War,Competition,1946,The company's defenses crumbled under the competitor's siege.,The company's protective measures failed against competitive pressure.,"Company, fortress walls","Defensive structures, crumbling stone",Attacking force causing destruction,A stone fortress with crumbling walls while competitor logos bombard it with cannonballs.
387,People,Machines,536,"Like humans, machines have their own families and generations.",Machines evolve and are connected like human family trees.,"Machines, Human families","Generational, Connected, Evolutionary",Parallel between machine development and human family structures,"A family tree diagram where computer models branch out like relatives, with older machines as grandparents and newer ones as children."
388,Visibility,Existence,1857,The culture vanished into the fog of time.,Gradual disappearance and fading from memory.,"Culture, Fog, Time","Fading, misty, disappearing","Culture dissolving into fog, representing passage of time",Ancient artifacts and symbols dissolving into swirling fog against a clock face background.
389,Guides,Beliefs,262,Our beliefs are lighthouse beacons in the storm of uncertainty.,Beliefs provide guidance and hope during difficult times.,"Lighthouse, Storm, Beliefs","Bright, guiding, steady amidst chaos",Lighthouse beam cutting through dark stormy waters,"A lighthouse beam pierces through dark storm clouds, illuminating a path across turbulent waves."
390,Containers,Difficulties,1123,Life's obstacles are overflowing cups that need careful handling.,Life's challenges require delicate balance and attention to avoid spillage or mistakes.,"Cups, Life obstacles","Overflowing, fragile, requiring careful handling",Person carefully balancing multiple cups filled to the brim,"A person balancing multiple overflowing cups while walking on a tightrope, with liquid drops falling below."
391,Contact With The Ground,Emotional Stability,608,She's found her emotional bedrock.,Stable and solid emotional foundation.,"Person, Bedrock","Solid, Stable, Deep, Foundational",Person standing/connecting with bedrock,A woman standing confidently on a solid rock formation that glows with inner strength.
392,Physical Injury,Harm,637,The scandal was a concussion to the organization's integrity.,"Sudden, severe damage to reputation and trustworthiness.","Organization, Concussion (brain injury)","Damaged, bruised, impaired function",Scandal causing severe damage to organizational integrity,A corporate building with a large bruise and stars spinning around its top floor.
393,Cultivation,Creation,123,The garden of creativity needs regular weeding of doubt.,Creative growth requires removing negative thoughts and self-doubt.,"Garden, Weeds","Growing flowers (creativity), invasive weeds (doubt)",Weeds threaten to choke out creative flowers,"A colorful garden with bright flowers being strangled by dark weeds labeled ""doubt"" while hands pull them out."
394,Substance Directed At An Affected Party,Force,1411,Their accusations rained down like acid on his reputation.,Destructive and corrosive criticism that damages someone's standing.,"Accusations, Rain, Acid, Reputation","Corrosive, Damaging, Falling",Accusations are portrayed as harmful acid rain falling onto and dissolving something valuable,Green acid drops falling from dark clouds onto a dissolving trophy or medal representing reputation.
395,Maintaining Position,Emotional Stability,358,She's an oak holding ground in emotional windstorms.,Strong and resilient during difficult emotional times.,"Woman, Oak tree, Windstorm","Strong, Sturdy, Deeply rooted, Unwavering",Standing firm against emotional turmoil represented as wind,"A woman's silhouette merged with an oak tree, roots deep in ground, withstanding swirling emotional storm clouds."
396,Contact With The Ground,Emotional Stability,607,He's standing on shaky emotional terrain.,Emotional instability and uncertainty.,"Person, Ground/Terrain","Unstable, Shaking, Cracking",Person attempting to maintain balance on unstable ground,A person balancing on cracking ground pieces floating in space with a worried expression.
397,Nausea,Disgust,526,The nausea of betrayal spins the moral compass.,Betrayal causes disorientation of one's ethical principles.,"Moral compass, Nausea/Betrayal","Spinning, Disoriented, Unstable",Betrayal causes the compass to malfunction and spin uncontrollably,A nauseated face in the center of a wildly spinning compass with its needle whirling chaotically.
398,Forces,Obligations,1577,Their moral obligations accelerated like objects in free fall.,Rapidly declining moral standards.,"Moral obligations, falling objects","Accelerating, downward movement, gravity",Moral standards rapidly descending like physical objects falling,"Books labeled ""morals"" and ""ethics"" plummeting down a dark void with increasing speed trails."
399,Cloth,Theories,312,The old theory was becoming threadbare with use.,The theory has become weak and unreliable from overuse.,"Theory, Worn fabric","Old, worn out, holes, thinning material",Theory is compared to deteriorating fabric,A tattered book with pages fraying into loose threads and visible holes in its text.
400,Being On The Mind,Receiving Serious Thought,720,Her project has been camping out in my thoughts all week.,Persistent and occupying mental space continuously.,"Project, Thoughts, Camp","Persistent, Occupying space, Temporary dwelling",The project is portrayed as a camper setting up residence in someone's mind,A tent pitched inside a brain with project papers scattered around a small campfire.
401,Child,Hope,962,Hope is a child's endless imagination.,Hope is boundless and pure like a child's creative mind.,"Hope, Child, Imagination","Endless, Pure, Creative",Hope is compared to childlike imagination's infinite possibilities,A child drawing colorful butterflies that fly off the page and spiral endlessly into the sky.
402,Fashions,Ideas,414,His mind is a boutique of carefully curated concepts.,Selective and refined thinking.,"Mind, Boutique","Carefully curated, selective, organized",Mind is compared to a high-end store with selected items,A glass-front boutique store with floating ideas displayed as elegant merchandise on mannequins.
403,Giving An Object,Creating,1302,Nature presents new life to the earth each spring.,Nature is a gift-giver bringing renewal and rebirth.,"Nature, Earth, Spring season","New life, renewal, presentation, cyclical giving",Nature actively giving/presenting to Earth like a gift-giver,A feminine figure in green robes presenting a glowing seedling to a soil-covered Earth sphere.
404,Reception,Perception,1046,Perception's doorman screens each sensory visitor.,The mind filters and selects which sensations to process.,"Doorman, sensory inputs","Screening, filtering, selective",Doorman actively checking and allowing/denying entry of sensations,A stern doorman in a brain-shaped building checking ID cards of colorful floating sensory symbols.
405,Having A Harmful Possession,Harm,435,That secret was a corroding battery acid in his heart.,The secret is causing emotional damage and pain.,"Secret, Battery acid, Heart","Corrosive, Damaging, Painful",The secret acts like acid eating away at the heart,"A glowing heart being eaten away by green acid, revealing dark holes and rust."
406,Light Source,Intelligence,1177,Their ideas are sparks in the night sky.,Brilliant and fleeting moments of inspiration.,"Ideas, Sparks, Night sky","Bright, temporary, scattered, illuminating",Sparks appearing against dark background,Glowing lightbulbs floating upward like fireflies against a dark starlit sky.
407,Forces,Emotions,1295,Hope is a buoyant force keeping us afloat in troubled waters.,Hope provides support during difficult times.,"Hope, Water, Person","Buoyant, Troubled waters, Floating",Hope acts as a life preserver keeping person above water,"A person floating in stormy waters, supported by a glowing life preserver labeled ""Hope""."
408,Hunger,Desire,1759,Her soul was starving for purpose.,Feeling empty and unfulfilled in life.,"Soul, Food/Nourishment","Empty, Hungry, Weak",Soul seeking sustenance through purpose,"A thin, transparent figure reaching desperately toward a glowing plate of light."
409,Containers For Money,Investments,808,These real estate investments are concrete boxes storing solid value.,Real estate investments are secure and reliable stores of wealth.,"Real estate investments, concrete boxes","Solid, secure, containing value",Investments are portrayed as physical containers of wealth,"A concrete vault with gold bars visible through a glass window, surrounded by miniature buildings."
410,Warmth,Affection,985,His kindness was a warm summer breeze.,Gentle and comforting.,"Kindness, Summer breeze","Warm, gentle, soothing",Human quality compared to natural phenomenon,A smiling face radiating golden waves that gently lift leaves and flower petals.
411,Commercial Transaction,Causation,139,Every action cashes in on future consequences.,"Actions have future payoffs or penalties, like financial transactions.","Actions, Money/Cash, Time","Transactional, Future-oriented, Consequential",Actions are depicted as currency being exchanged for future outcomes,"A hand depositing coins labeled ""Actions"" into a piggy bank that's transparent, showing either gold or dark clouds forming inside."
412,Transferring An Object,Acting On,1064,She threw her influence behind the project.,Using power or authority to support something.,"Influence, Person, Project","Force, Movement, Support",Person actively directing influence toward project,A woman throwing a glowing sphere of light that pushes forward a floating blueprint.
413,Shape Recognition,Perception,1537,Our thoughts tessellate like perfect tiles of understanding.,Ideas fit together in a harmonious and organized pattern.,"Thoughts, Tiles","Interlocking, Perfect fit, Geometric patterns",Thoughts connecting like tessellating tiles,Brain-shaped mosaic made of interlocking geometric tiles glowing with different colors.
414,Distinct Individuals,Aspects Of The Self,1198,The citizens of self-city vote on every action.,Internal conflict and indecision in decision-making.,"Citizens, City, Voting booth","Multiple versions of self, democratic process, decision-making",Multiple selves participating in internal voting process,"Multiple identical people in voting booths within a brain-shaped city hall, casting ballots."
415,Children wrt Development,Ideas,1398,"Each idea grows at its own pace, like children reaching milestones differently.",Development happens uniquely and individually.,Ideas and children,"Growing, developing at different rates",Comparison between mental growth and physical/developmental growth,"Multiple seedlings at different growth stages with child-like faces, each reaching toward the sun at varying heights."
416,Straightness,Morality,466,He straightened out his moral conduct.,Correcting or improving one's behavior to align with ethical standards.,"Moral conduct, Person","Crooked becoming straight, bent becoming unbent",Person actively straightening something twisted,A person ironing out wrinkles from a twisted path that transforms into a straight golden line.
417,Linguistic Communication,Communication,1877,Phonemes are building blocks in language's architecture.,Language is constructed from fundamental sound units like a building from blocks.,"Phonemes, Building blocks, Architecture","Foundational, Structural, Combinable",Phonemes form larger structures like blocks form buildings,Letters and symbols stacked like colorful building blocks forming a towering word castle.
418,Locations,States,1512,States are waypoints on the journey of progress.,Progress is a continuous journey with distinct stages or milestones.,"States, waypoints, journey, progress","Sequential, directional, milestone-based",States serve as markers along a path toward advancement,"A winding road with glowing checkpoint markers, each marker labeled as different states of development."
419,Journey,Longterm Purposeful Change,1154,The baggage of old habits must be unpacked at each new milestone.,Past behaviors and patterns need to be examined and dealt with when making life changes.,"Baggage, milestone marker","Old, heavy, containing habits",Unpacking action at a milestone point,"A person opening an old suitcase at a road milestone marker, with habits floating out as glowing symbols."
420,Comparison Of Physical Properties,Comparison Of Properties,1848,Physical properties are the skeleton that gives structure to abstract comparisons.,Physical properties provide essential framework and support for understanding abstract concepts.,"Skeleton, Physical properties, Abstract comparisons","Structural, Supporting, Framework-like",Skeleton supports and shapes abstract concepts like bones support a body,A human skeleton holding up floating abstract symbols and mathematical equations like a coat rack.
421,Beings With A Life Cycle,Beliefs,200,Old beliefs wither and die like autumn leaves.,Beliefs become obsolete and fade away naturally over time.,"Beliefs, Autumn leaves","Old, withering, dying, falling",Natural decay and falling away process,"Written words on autumn leaves falling from a tree, crumbling and turning to dust."
422,Heat,Anger,901,The heat of her fury scorched everyone in the room.,Intense anger affecting others.,"Angry person, Room, Heat/Fire","Scorching, Intense, Spreading",Person's anger affecting others through heat/fire,A woman radiating red flames that engulf bystanders who shield themselves from the heat.
423,Child,Hope,969,Hope finger-paints possibilities on life's canvas.,Hope creates colorful opportunities in life.,"Hope, finger paint, canvas","Colorful, creative, childlike",Hope actively painting on the canvas of life,A glowing figure with rainbow-colored hands painting bright swirls on a floating white canvas.
